id,pdbid,ndbid,polyclass,method
100D,100D,AHJ060,Hybrid,X-ray
101D,101D,GDLB31,DNA,X-ray
102D,102D,GDL032,DNA,X-ray
103D,103D,103D,DNA,NMR
104D,104D,104D,Hybrid,NMR
105D,105D,105D,DNA,NMR
106D,106D,106D,DNA,NMR
107D,107D,107D,DNA,NMR
108D,108D,108D,DNA,NMR
109D,109D,GDL033,DNA,X-ray
10MH,10MH,PD0034,Protein/DNA,X-ray
110D,110D,DDF039,DNA,X-ray
111D,111D,BDL014,DNA,X-ray
112D,112D,BDL012,DNA,X-ray
113D,113D,BDL009,DNA,X-ray
114D,114D,BDLB10,DNA,X-ray
115D,115D,ADHB11,DNA,X-ray
116D,116D,ADL045,DNA,X-ray
117D,117D,ADL046,DNA,X-ray
118D,118D,ADH047,DNA,X-ray
119D,119D,BDL042,DNA,X-ray
121D,121D,GDL014,DNA,X-ray
122D,122D,BDJB49,DNA,X-ray
123D,123D,BDJB50,DNA,X-ray
124D,124D,124D,DNA/RNA,NMR
126D,126D,BDJ051,DNA,X-ray
127D,127D,GDL022,DNA,X-ray
128D,128D,GDLB19,DNA,X-ray
129D,129D,GDL021,DNA,X-ray
130D,130D,GDLB20,DNA,X-ray
131D,131D,ZDF035,DNA,X-ray
132D,132D,132D,DNA,NMR
133D,133D,ZDFB36,DNA,X-ray
134D,134D,134D,DNA,NMR
135D,135D,135D,DNA,NMR
136D,136D,136D,DNA,NMR
137D,137D,ADJ050,DNA,X-ray
138D,138D,ADJ051,DNA,X-ray
139D,139D,139D,DNA,NMR
140D,140D,140D,DNA,NMR
141D,141D,141D,DNA,NMR
142D,142D,142D,DNA,NMR
143D,143D,143D,DNA,NMR
144D,144D,GDLB24,DNA,X-ray
145D,145D,ZDFB37,DNA,X-ray
146D,146D,146D,DNA,NMR
148D,148D,148D,DNA,NMR
149D,149D,149D,DNA,NMR
150D,150D,BDLB54,DNA,X-ray
151D,151D,DDF044,DNA,X-ray
152D,152D,DDF045,DNA,X-ray
153D,153D,BDLB53,DNA,X-ray
154D,154D,DDDB46,DNA,X-ray
156D,156D,156D,DNA,NMR
157D,157D,ARL048,RNA,X-ray
158D,158D,BDJ052,DNA,X-ray
159D,159D,GDHB25,DNA,X-ray
160D,160D,ADJ049,DNA,X-ray
161D,161D,AHJ052,Hybrid,X-ray
165D,165D,AHIB53,RNA,X-ray
166D,166D,GDL027,DNA,X-ray
167D,167D,BDJ055,DNA,X-ray
168D,168D,AHJS55,Hybrid,X-ray
169D,169D,169D,DNA/Hybrid,NMR
170D,170D,170D,Hybrid,NMR
171D,171D,171D,DNA,NMR
172D,172D,ADH054,DNA,X-ray
173D,173D,DDH048,DNA,X-ray
175D,175D,175D,DNA,NMR
176D,176D,176D,RNA/PNA,NMR
177D,177D,177D,DNA,NMR
178D,178D,BDLB56,DNA,X-ray
179D,179D,179D,DNA,NMR
17RA,17RA,17RA,RNA,NMR
180D,180D,ZDF038,DNA,X-ray
181D,181D,ZDF039,DNA,X-ray
182D,182D,DDF049,DNA,X-ray
183D,183D,BDJB57,DNA,X-ray
184D,184D,UDG028,DNA,X-ray
185D,185D,185D,DNA,NMR
186D,186D,186D,DNA,NMR
187D,187D,ADH056,DNA,X-ray
188D,188D,ADH057,DNA,X-ray
189D,189D,ADH058,DNA,X-ray
190D,190D,UDD024,DNA,X-ray
191D,191D,UDD023,DNA,X-ray
192D,192D,UDF025,DNA,X-ray
193D,193D,193D,DNA,NMR
194D,194D,BDL059,DNA,X-ray
195D,195D,GDL030,DNA,X-ray
196D,196D,BDJ060,DNA,X-ray
197D,197D,ADH059,DNA,X-ray
198D,198D,DDF050,DNA,X-ray
199D,199D,199D,DNA,NMR
1A02,1A02,PDT050,Protein/DNA,X-ray
1A0A,1A0A,PDT046,Protein/DNA,X-ray
1A1F,1A1F,PDT055,Protein/DNA,X-ray
1A1G,1A1G,PDT056,Protein/DNA,X-ray
1A1H,1A1H,PDT057,Protein/DNA,X-ray
1A1I,1A1I,PDT059,Protein/DNA,X-ray
1A1J,1A1J,PDT060,Protein/DNA,X-ray
1A1K,1A1K,PDT058,Protein/DNA,X-ray
1A1L,1A1L,PDT061,Protein/DNA,X-ray
1A1T,1A1T,1A1T,Protein/RNA,NMR
1A1V,1A1V,PDE0134,Protein/DNA,X-ray
1A2E,1A2E,DDJ075,DNA,X-ray
1A31,1A31,PDE0142,Protein/DNA,X-ray
1A34,1A34,PRV020,Protein/RNA,X-ray
1A35,1A35,PDE0143,Protein/DNA,X-ray
1A36,1A36,PDE0141,Protein/DNA,X-ray
1A3M,1A3M,1A3M,RNA,NMR
1A3Q,1A3Q,PDR032,Protein/DNA,X-ray
1A4D,1A4D,1A4D,RNA,NMR
1A4T,1A4T,1A4T,Protein/RNA,NMR
1A51,1A51,1A51,RNA,NMR
1A60,1A60,1A60,RNA,NMR
1A66,1A66,1A66,Protein/DNA,NMR
1A6B,1A6B,1A6B,Protein/DNA,NMR
1A6H,1A6H,1A6H,DNA,NMR
1A6Y,1A6Y,PD0008,Protein/DNA,X-ray
1A73,1A73,PD0002,Protein/DNA,X-ray
1A74,1A74,PDE140,Protein/DNA,X-ray
1A83,1A83,1A83,DNA,NMR
1A84,1A84,1A84,DNA,NMR
1A8N,1A8N,1A8N,DNA,NMR
1A8W,1A8W,1A8W,DNA,NMR
1A9G,1A9G,1A9G,DNA,NMR
1A9H,1A9H,1A9H,DNA,NMR
1A9I,1A9I,1A9I,DNA,NMR
1A9J,1A9J,1A9J,DNA,NMR
1A9L,1A9L,1A9L,RNA,NMR
1A9N,1A9N,PTR016,Protein/RNA,X-ray
1AAY,1AAY,PDT039,Protein/DNA,X-ray
1AC3,1AC3,1AC3,DNA/RNA,NMR
1AC7,1AC7,1AC7,DNA,NMR
1AC9,1AC9,1AC9,DNA,NMR
1AF1,1AF1,1AF1,DNA,NMR
1AFF,1AFF,1AFF,DNA,NMR
1AFX,1AFX,1AFX,RNA,NMR
1AFZ,1AFZ,1AFZ,DNA,NMR
1AG3,1AG3,1AG3,DNA,NMR
1AG5,1AG5,1AG5,DNA,NMR
1AGH,1AGH,1AGH,DNA,NMR
1AGK,1AGK,1AGK,DNA,NMR
1AGL,1AGL,DDF072,DNA,X-ray
1AGO,1AGO,1AGO,DNA,NMR
1AGU,1AGU,1AGU,DNA,NMR
1AGZ,1AGZ,1AGZ,DNA,NMR
1AHD,1AHD,1AHD,Protein/DNA,NMR
1AIO,1AIO,DDLB73,DNA,X-ray
1AIS,1AIS,PDR031,Protein/DNA,X-ray
1AJF,1AJF,1AJF,RNA,NMR
1AJL,1AJL,1AJL,RNA,NMR
1AJT,1AJT,1AJT,RNA,NMR
1AJU,1AJU,1AJU,RNA,NMR
1AKH,1AKH,PDR049,Protein/DNA,X-ray
1AKX,1AKX,1AKX,RNA,NMR
1AL5,1AL5,1AL5,RNA,NMR
1AL9,1AL9,1AL9,DNA,NMR
1AM0,1AM0,1AM0,RNA,NMR
1AM9,1AM9,PDT062,Protein/DNA,X-ray
1AMD,1AMD,1AMD,DNA,NMR
1AN2,1AN2,PDT023,Protein/DNA,X-ray
1AN4,1AN4,PDT027,Protein/DNA,X-ray
1ANA,1ANA,ADDB01,DNA,X-ray
1ANR,1ANR,1ANR,RNA,NMR
1AO1,1AO1,1AO1,DNA,NMR
1AO9,1AO9,1AO9,DNA,NMR
1AOI,1AOI,PD0001,Protein/DNA,X-ray
1AP1,1AP1,1AP1,DNA,NMR
1APL,1APL,PDT005,Protein/DNA,X-ray
1AQ3,1AQ3,PRV008,Protein/RNA,X-ray
1AQ4,1AQ4,PRV009,Protein/RNA,X-ray
1AQO,1AQO,1AQO,RNA,NMR
1ARJ,1ARJ,1ARJ,RNA,NMR
1ASY,1ASY,PTR005,Protein/RNA,X-ray
1ASZ,1ASZ,PTR008,Protein/RNA,X-ray
1AT4,1AT4,1AT4,DNA,NMR
1ATO,1ATO,1ATO,RNA,NMR
1ATV,1ATV,1ATV,RNA,NMR
1ATW,1ATW,1ATW,RNA,NMR
1AU5,1AU5,1AU5,DNA,NMR
1AU6,1AU6,1AU6,DNA,NMR
1AU7,1AU7,PDR034,Protein/DNA,X-ray
1AUD,1AUD,1AUD,Protein/RNA,NMR
1AUL,1AUL,1AUL,DNA,NMR
1AV6,1AV6,PRV007,Protein/RNA,X-ray
1AW4,1AW4,1AW4,DNA,NMR
1AWC,1AWC,PDT048,Protein/DNA,X-ray
1AX6,1AX6,1AX6,DNA,NMR
1AX7,1AX7,1AX7,DNA,NMR
1AXL,1AXL,1AXL,DNA,NMR
1AXO,1AXO,1AXO,DNA,NMR
1AXP,1AXP,1AXP,DNA,NMR
1AXU,1AXU,1AXU,DNA,NMR
1AXV,1AXV,1AXV,DNA,NMR
1AZ0,1AZ0,PDE139,Protein/DNA,X-ray
1AZP,1AZP,PDR047,Protein/DNA,X-ray
1AZQ,1AZQ,PDR048,Protein/DNA,X-ray
1B01,1B01,PD0091,Protein/DNA,X-ray
1B0S,1B0S,1B0S,DNA,NMR
1B23,1B23,PR0004,Protein/RNA,X-ray
1B2M,1B2M,PR0012,Protein/RNA,X-ray
1B36,1B36,1B36,RNA,NMR
1B3P,1B3P,1B3P,DNA,NMR
1B3T,1B3T,PD0024,Protein/DNA,X-ray
1B4Y,1B4Y,1B4Y,DNA,NMR
1B5K,1B5K,1B5K,DNA,NMR
1B60,1B60,1B60,DNA,NMR
1B69,1B69,1B69,Protein/DNA,NMR
1B6X,1B6X,1B6X,DNA,NMR
1B6Y,1B6Y,1B6Y,DNA,NMR
1B72,1B72,PD0075,Protein/DNA,X-ray
1B7F,1B7F,PR0011,Protein/RNA,X-ray
1B8I,1B8I,PD0042,Protein/DNA,X-ray
1B94,1B94,PD0037,Protein/DNA,X-ray
1B95,1B95,PD0038,Protein/DNA,X-ray
1B96,1B96,PD0039,Protein/DNA,X-ray
1B97,1B97,PD0040,Protein/DNA,X-ray
1BAE,1BAE,1BAE,DNA,NMR
1BAU,1BAU,1BAU,RNA,NMR
1BBX,1BBX,1BBX,Protein/DNA,NMR
1BC7,1BC7,PD0027,Protein/DNA,X-ray
1BC8,1BC8,PD0020,Protein/DNA,X-ray
1BCB,1BCB,1BCB,DNA,NMR
1BCE,1BCE,1BCE,DNA,NMR
1BD1,1BD1,BDJ017,DNA,X-ray
1BDH,1BDH,PDR028,Protein/DNA,X-ray
1BDI,1BDI,PDR029,Protein/DNA,X-ray
1BDN,1BDN,BDL015,DNA,X-ray
1BDT,1BDT,PD0035,Protein/DNA,X-ray
1BDV,1BDV,PD0025,Protein/DNA,X-ray
1BDX,1BDX,PD0098,Protein/DNA,X-ray
1BDZ,1BDZ,1BDZ,DNA,NMR
1BE5,1BE5,1BE5,DNA,NMR
1BF4,1BF4,PD0088,Protein/DNA,X-ray
1BF5,1BF5,PDR052,Protein/DNA,X-ray
1BG1,1BG1,PD0028,Protein/DNA,X-ray
1BGB,1BGB,PD0010,Protein/DNA,X-ray
1BGZ,1BGZ,1BGZ,RNA,NMR
1BHM,1BHM,PDE020,Protein/DNA,X-ray
1BHR,1BHR,1BHR,DNA,NMR
1BIV,1BIV,1BIV,Protein/RNA,NMR
1BJ2,1BJ2,1BJ2,RNA,NMR
1BJ6,1BJ6,1BJ6,Protein/DNA,NMR
1BJD,1BJD,1BJD,DNA,NMR
1BJH,1BJH,1BJH,DNA,NMR
1BL0,1BL0,PDR056,Protein/DNA,X-ray
1BMV,1BMV,PRV001,Protein/RNA,X-ray
1BN0,1BN0,1BN0,RNA,NMR
1BN9,1BN9,1BN9,DNA,NMR
1BNA,1BNA,BDL001,DNA,X-ray
1BNK,1BNK,PD0009,Protein/DNA,X-ray
1BNZ,1BNZ,PD0012,Protein/DNA,X-ray
1BP7,1BP7,PD0026,Protein/DNA,X-ray
1BP8,1BP8,1BP8,DNA,NMR
1BPS,1BPS,1BPS,DNA,NMR
1BPX,1BPX,PDE0126,Protein/DNA,X-ray
1BPY,1BPY,PDE0125,Protein/DNA,X-ray
1BPZ,1BPZ,PDE0124,Protein/DNA,X-ray
1BQJ,1BQJ,UD0003,DNA,X-ray
1BR3,1BR3,UH0001,DNA/RNA,X-ray
1BRN,1BRN,PDE010,Protein/DNA,X-ray
1BSS,1BSS,PDE0139,Protein/DNA,X-ray
1BSU,1BSU,PDE0145,Protein/DNA,X-ray
1BUA,1BUA,PDE0146,Protein/DNA,X-ray
1BUB,1BUB,1BUB,DNA,NMR
1BUF,1BUF,1BUF,DNA,NMR
1BUT,1BUT,1BUT,DNA,NMR
1BVJ,1BVJ,1BVJ,RNA,NMR
1BVO,1BVO,1BVO,Protein/DNA,X-ray
1BW7,1BW7,1BW7,DNA,NMR
1BWG,1BWG,1BWG,DNA,NMR
1BWT,1BWT,1BWT,DNA,NMR
1BX5,1BX5,1BX5,DNA,NMR
1BY4,1BY4,PD0071,Protein/DNA,X-ray
1BYJ,1BYJ,1BYJ,RNA,NMR
1BYX,1BYX,1BYX,RNA/Hybrid,NMR
1BZ2,1BZ2,1BZ2,RNA,NMR
1BZ3,1BZ3,1BZ3,RNA,NMR
1BZT,1BZT,1BZT,RNA,NMR
1BZU,1BZU,1BZU,RNA,NMR
1C04,1C04,RR0002,Protein/RNA,X-ray
1C0A,1C0A,PR0019,Protein/RNA,X-ray
1C0O,1C0O,1C0O,RNA,NMR
1C0W,1C0W,PD0069,Protein/DNA,X-ray
1C0Y,1C0Y,1C0Y,DNA,NMR
1C11,1C11,1C11,DNA,NMR
1C2Q,1C2Q,1C2Q,DNA/RNA,NMR
1C2W,1C2W,,Protein/RNA,EM
1C2X,1C2X,,Protein/RNA,EM
1C32,1C32,1C32,DNA,NMR
1C34,1C34,1C34,DNA,NMR
1C35,1C35,1C35,DNA,NMR
1C38,1C38,1C38,DNA,NMR
1C4L,1C4L,1C4L,RNA,NMR
1C7U,1C7U,1C7U,Protein/DNA,NMR
1C7Y,1C7Y,PD0136,Protein/DNA,X-ray
1C8C,1C8C,PD0143,Protein/DNA,X-ray
1C95,1C95,1C95,DNA,NMR
1C9B,1C9B,PD0112,Protein/DNA,X-ray
1C9S,1C9S,PR0009,Protein/RNA,X-ray
1C9Z,1C9Z,DD0018,DNA,X-ray
1CA5,1CA5,PD0119,Protein/DNA,X-ray
1CA6,1CA6,PD0120,Protein/DNA,X-ray
1CBV,1CBV,PDA001,Protein/DNA,X-ray
1CDW,1CDW,PDT034,Protein/DNA,X-ray
1CEZ,1CEZ,PD0086,Protein/DNA,X-ray
1CF7,1CF7,PD0045,Protein/DNA,X-ray
1CFL,1CFL,1CFL,DNA,NMR
1CGC,1CGC,BDJ039,DNA,X-ray
1CGM,1CGM,,Protein/RNA,X-ray
